Player,Batsman Link,Span,Mat,Inns,NO,Runs,HS,Ave,SR,100,50,0
Simi Singh,https://www.espncricinfo.com/cricketers/simi-singh-1005257,2021-2021,3,2,2,10,5*,0.00,76.92,-,-,-
LMP Simmons,https://www.espncricinfo.com/cricketers/lendl-simmons-53116,2021-2021,2,2,-,19,16,9.50,45.23,-,-,-
JJ Smit,https://www.espncricinfo.com/cricketers/jj-smit-553821,2021-2021,8,7,4,78,32*,26.00,97.50,-,-,1
SPD Smith,https://www.espncricinfo.com/cricketers/steven-smith-267192,2021-2021,7,4,1,69,35,23.00,97.18,-,-,-
IS Sodhi,https://www.espncricinfo.com/cricketers/ish-sodhi-559066,2021-2021,7,1,1,2,2*,0.00,100.00,-,-,-
CA Soper,https://www.espncricinfo.com/cricketers/chad-soper-574287,2021-2021,2,2,-,27,16,13.50,117.39,-,-,-
Soumya Sarkar,https://www.espncricinfo.com/cricketers/soumya-sarkar-436677,2021-2021,4,4,-,27,17,6.75,100.00,-,-,1
TG Southee,https://www.espncricinfo.com/cricketers/tim-southee-232364,2021-2021,7,-,-,-,-,0.00,0.00,-,-,-
MA Starc,https://www.espncricinfo.com/cricketers/mitchell-starc-311592,2021-2021,7,1,-,13,13,13.00,216.66,-,-,-
PR Stirling,https://www.espncricinfo.com/cricketers/paul-stirling-303427,2021-2021,3,3,1,75,38,37.50,107.14,-,-,-
MP Stoinis,https://www.espncricinfo.com/cricketers/marcus-stoinis-325012,2021-2021,7,4,3,80,40*,80.00,137.93,-,-,1
Suraj Kumar,https://www.espncricinfo.com/cricketers/suraj-kumar-1156690,2021-2021,1,1,-,4,4,4.00,57.14,-,-,-
Taskin Ahmed,https://www.espncricinfo.com/cricketers/taskin-ahmed-538506,2021-2021,6,3,2,10,6*,10.00,52.63,-,-,-
HT Tector,https://www.espncricinfo.com/cricketers/harry-tector-961407,2021-2021,3,2,-,11,8,5.50,91.66,-,-,-
RN ten Doeschate,https://www.espncricinfo.com/cricketers/ryan-ten-doeschate-47660,2021-2021,2,1,-,-,-,0.00,0.00,-,-,1
SN Thakur,https://www.espncricinfo.com/cricketers/shardul-thakur-475281,2021-2021,2,1,-,-,-,0.00,0.00,-,-,1
M Theekshana,https://www.espncricinfo.com/cricketers/maheesh-theekshana-1138316,2021-2021,7,2,1,9,7*,9.00,180.00,-,-,-
R Trumpelmann,https://www.espncricinfo.com/cricketers/ruben-trumpelmann-698317,2021-2021,8,4,3,32,13*,32.00,145.45,-,-,-
TP Ura,https://www.espncricinfo.com/cricketers/tony-ura-302845,2021-2021,2,2,-,2,2,1.00,25.00,-,-,1
