bowlerName,overs,maidens,runs,wickets,economy,dots,fours,sixes,wides,no_balls,match_id
Simi Singh,2,0,20,0,10.00,3,0,2,0,0,scorecard
Ben Stokes,4,0,19,2,4.75,14,2,0,1,0,scorecard
Chris Woakes,4,0,24,1,6.00,15,2,1,1,0,scorecard
Mark Wood,4,0,23,2,5.75,14,2,1,0,0,scorecard
Sam Curran,3.4,0,10,5,2.72,16,1,0,1,0,scorecard
Adil Rashid,4,0,32,0,8.00,4,1,1,0,0,scorecard
Fazalhaq Farooqi,4,0,24,1,6.00,15,2,1,3,0,scorecard
Azmatullah Omarzai,1.1,0,11,0,9.42,2,1,0,3,0,scorecard
Mujeeb Ur Rahman,4,0,22,1,5.50,10,1,0,0,0,scorecard
Rashid Khan,4,0,17,1,4.25,10,0,0,0,0,scorecard
Fareed Ahmad,2,0,23,1,11.50,2,2,0,1,0,scorecard
Mohammad Nabi,3,0,16,1,5.33,6,0,0,0,0,scorecard
Mitchell Starc,4,0,36,0,9.00,5,3,1,0,0,scorecard
Josh Hazlewood,4,0,41,2,10.25,8,5,1,1,0,scorecard
Pat Cummins,4,0,46,0,11.50,8,4,2,2,0,scorecard
Marcus Stoinis,4,0,38,0,9.50,3,1,2,1,0,scorecard
Adam Zampa,4,0,39,1,9.75,4,2,2,1,0,scorecard
Trent Boult,4,0,24,2,6.00,13,2,1,1,0,scorecard
Tim Southee,2.1,0,6,3,2.76,10,1,0,0,0,scorecard
Mitchell Santner,4,0,31,3,7.75,10,2,2,0,0,scorecard
Lockie Ferguson,3,0,20,1,6.66,9,2,1,0,0,scorecard
Ish Sodhi,4,0,29,1,7.25,8,2,1,1,0,scorecard
Tendai Chatara,4,1,14,2,3.50,14,1,0,0,0,scorecard
Richard Ngarava,4,0,28,2,7.00,12,4,0,1,1,scorecard
Blessing Muzarabani,4,0,34,1,8.50,9,5,0,0,2,scorecard
Sean Williams,3,0,19,0,6.33,4,1,0,0,0,scorecard
Sikandar Raza,4,0,20,1,5.00,10,0,0,2,0,scorecard
Wessly Madhevere,1,0,7,0,7.00,1,0,0,0,0,scorecard
Brad Wheal,4,0,26,1,6.50,12,4,0,0,0,scorecard
Josh Davey,3,0,16,2,5.33,8,1,0,0,1,scorecard
Safyaan Sharif,2.3,0,23,0,9.20,4,3,0,0,1,scorecard
Mark Watt,4,0,19,1,4.75,9,1,0,0,0,scorecard
Michael Leask,4,0,36,1,9.00,4,2,1,0,0,scorecard
Calum MacLeod,1,0,11,0,11.00,0,0,1,0,0,scorecard
Josh Little,4,0,31,0,7.75,8,1,2,1,0,scorecard
Mark Adair,4,0,26,0,6.50,12,1,1,4,0,scorecard
Barry McCarthy,4,0,33,1,8.25,9,3,1,1,0,scorecard
Curtis Campher,2,0,28,0,14.00,2,4,1,0,0,scorecard
Simi Singh,2,0,11,1,5.50,4,1,0,0,0,scorecard
Gareth Delany,4,0,16,3,4.00,12,1,0,1,0,scorecard
Obed McCoy,3.3,0,27,0,7.71,11,2,2,0,0,scorecard
Akeal Hosein,4,0,38,1,9.50,5,2,2,0,0,scorecard
Alzarri Joseph,4,0,39,0,9.75,9,3,2,1,0,scorecard
Odean Smith,2,0,23,0,11.50,4,3,1,0,1,scorecard
Jason Holder,4,0,23,0,5.75,7,1,0,0,0,scorecard
